set MFRS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set HORIZON := 1 2 3 4 5 6 7;

:             price[v,i,t] quant[v,i,t]    :=
Hex      10 1    66.1632      14.9169
Hex      10 2    63.0174      15.0091
Hex      10 3    61.8653      15.0806
Hex      10 4    67.6663      14.8754
Hex      10 5    69.3606      14.8998
Hex      10 6    25.7268      16.3314
Hex      10 7    73.721       14.7763
Hex      11 1     0            0
Hex      11 2     0            0
Hex      11 3     0            0
Hex      11 4     0            0
Hex      11 5     0            0
Hex      11 6     0            0
Hex      11 7     0            0
Hex      12 1    66.1632      14.9169
Hex      12 2    63.0174      15.0091
Hex      12 3    61.8653      15.0806
Hex      12 4    67.6663      14.8754
Hex      12 5    69.3606      14.8998
Hex      12 6    25.7268      16.3314
Hex      12 7    73.721       14.7763
Hex      13 1     0            0
Hex      13 2     0            0
Hex      13 3     0            0
Hex      13 4     0            0
Hex      13 5     0            0
Hex      13 6     0            0
Hex      13 7     0            0
Hex      14 1     0            0
Hex      14 2     0            0
Hex      14 3     0            0
Hex      14 4     0            0
Hex      14 5     0            0
Hex      14 6     0            0
Hex      14 7     0            0
Hex      15 1    66.1632      14.9169
Hex      15 2    63.0174      15.0091
Hex      15 3    61.8653      15.0806
Hex      15 4    67.6663      14.8754
Hex      15 5    69.3606      14.8998
Hex      15 6    25.7268      16.3314
Hex      15 7    73.721       14.7763
Hex      16 1     0            0
Hex      16 2    63.0174      15.0091
Hex      16 3    61.8653      15.0806
Hex      16 4    67.6663      14.8754
Hex      16 5    69.3606      14.8998
Hex      16 6    25.7268      16.3314
Hex      16 7    73.721       14.7763
Hex      17 1    66.1632      14.9169
Hex      17 2    63.0174      15.0091
Hex      17 3    61.8653      15.0806
Hex      17 4    67.6663      14.8754
Hex      17 5    69.3606      14.8998
Hex      17 6    25.7268      16.3314
Hex      17 7    73.721       14.7763
Hex      18 1    66.1632      14.9169
Hex      18 2    63.0174      15.0091
Hex      18 3    61.8653      15.0806
Hex      18 4    67.6663      14.8754
Hex      18 5    69.3606      14.8998
Hex      18 6    25.7268      16.3314
Hex      18 7    73.721       14.7763
Hex      19 1    66.1632      14.9169
Hex      19 2    63.0174      15.0091
Hex      19 3    61.8653      15.0806
Hex      19 4    67.6663      14.8754
Hex      19 5    69.3606      14.8998
Hex      19 6    25.7268      16.3314
Hex      19 7    73.721       14.7763
Hex      20 1     0            0
Hex      20 2     0            0
Hex      20 3     0            0
Hex      20 4     0            0
Hex      20 5     0            0
Hex      20 6     0            0
Hex      20 7     0            0
DTP-IPV  1  1     0            0
DTP-IPV  1  2     0            0
DTP-IPV  1  3     0            0
DTP-IPV  1  4     0            0
DTP-IPV  1  5     0            0
DTP-IPV  1  6     0            0
DTP-IPV  1  7     0            0
DTP-IPV  2  1     0            0
DTP-IPV  2  2     0            0
DTP-IPV  2  3     0            0
DTP-IPV  2  4     0            0
